-11.157,-81.581,1.75
-43.551,-68.16,7.8326
-13.43,-77.172,28.684
-11.169,-80.935,3.5946
-16.454,-84.886,5.0407
-26.715,-83.8,-1.647
-30.067,-74.071,-12.849
-27.192,-19.18,53.466
-37.342,-23.265,51.824
-38.485,-3.6428,50.443
-45.648,0.36655,38.216
-44.839,0.26204,46.726
-15.571,-88.624,25.727
-4.997,-34.558,20.972
-9.2291,-69.379,36.9
-21.997,-82.252,30.459
-22.181,-72.633,38.226
-40.059,-58.952,-16.322
-26.61,-80.857,20.244
-37.323,-84.305,6.0335
-40.494,-83.591,-2.8065
-38.194,-81.978,-10.992
-44.484,-72.813,9.9027
-42.668,-24.235,9.9046
-55.128,-43.933,23.574
-7.5222,13.478,62.273
-6.3788,-52.127,50.341
-57.814,-47.405,17.598
-6.5344,-64.897,51.314
-4.5687,-62.161,36.984
-10.029,-57.164,13.366
-2.2999,-20.575,36.549
-4.7579,-53.801,19.449
-3.1222,-39.381,30.634
-8.3266,-45.512,32.943
-6.4202,-39.404,61.471
-12.436,-37.833,49.247
-9.582,-30.179,42.609
-12.306,-44.843,67.116
-7.5503,-17.117,48.396
-8.1876,-3.5079,43.953
-19.726,-51.1,64.567
-5.8864,2.9671,56.289
-15.772,3.6984,65.304
-9.5774,-56.983,59.933
-13.52,-68.051,54.58
-31.96,-48.247,57.598
-27.535,-55.736,53.155
-21.071,-60.679,58.927
-22.722,-65.06,47.688
-41.865,-26.664,54.422
-36.021,-34.676,52.607
-33.676,-21.827,44.012
-31.74,-13.23,62.966
-12.989,-12.87,67.788
-55.741,1.9335,31.798
-3.3418,-3.1332,38.517
-2.5837,9.2462,28.491
-5.2303,15.966,31.846
-7.8841,13.545,38.315
-5.4307,40.883,-0.33039
-7.4363,40.787,24.671
-5.0611,29.598,44.468
-8.6754,49.404,0.083468
-7.1214,51.614,-6.8393
-33.926,32.033,-13.635
-35.391,16.699,47.723
-22.32,28.517,42.835
-6.7821,51.865,24.096
-10.636,32.777,52.876
-16.801,44.947,37.221
-11.199,63.432,10.391
-40.968,15.191,36.97
-49.851,17.172,11.32
-47.709,28.361,3.1854
-43.796,29.483,-9.7764
-38.564,46.655,-9.7406
-50.571,6.93,17.382
-42.112,13.658,25.989
-41.036,5.7559,29.625
-44.428,22.862,21.182
-43.321,34.695,12.154
-41.282,29.664,27.134
-34.223,36.748,29.316
-35.414,49.928,9.8511
-27.37,45.279,23.552
-17.668,54.954,24.682
-4.559,50.826,-15.905
-25.628,57.283,-2.2436
-13.453,61.114,-11.681
-24.695,47.579,-13.422
-21.723,28.501,-18.36
-10.111,32.853,-22.508
-29.741,19.359,-18.436
-30.34,-54.504,45.599
-24.556,-1.7241,55.254
-28.665,11.119,52.979
-18.831,20.389,55.225
-55.334,-1.922,10.016
-56.85,-14.052,15.952
-45.918,-23.38,18.404
-39.087,-16.846,17.843
-39.139,-20.094,-0.032071
-39.412,-33.856,18.152
-50.56,-32.198,21.624
-39.095,-3.1738,-2.8921
-51.489,1.2245,-5.2225
-38.769,13.368,6.5067
-36.778,8.9906,1.0476
-30.318,3.5301,-17.452
-30.901,23.174,-3.8401
-32.216,10.424,-13.297
-49.105,1.6057,4.8887
-35.44,3.0139,11.475
-41.024,-4.7763,13.776
-52.074,-28.084,38.595
-38.246,-41.348,44.422
-21.128,-13.297,-28.745
-16.062,-33.024,-9.4131
-26.915,-26.128,-13.817
-17.781,-51.584,1.703
-30.073,-10.087,-32.119
-50.281,10.496,-16.515
-53.59,-25.549,8.6682
-59.956,-17.714,-0.70949
-20.765,-35.515,-15.217
-31.683,-37.267,-16.468
-52.349,-8.5654,-10.88
